,,,,,,,,,,,,,,,,,,
,Use overview sheet to select carrier and module ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,TE0705_REV04,,,,,,,,B2B,,TE0712_REV03,,,,,,Carrier + Module (PCB only)
,Index,Conn Pin name,Desig.,Pin,intermediate,Carrier Net Name,#netname,C. Trace Length (mm),others,pin c,pin m,others,intermediate,Module Net Name,#netname,FPGA Pin,M. Trace Length (mm),Total trace length (mm)
,56,B2B-IO-G1,JB1,55,---,IOA7,2,37.183,J11-12,JB1-55,JM1-56,---,---,B16_L9_N,2,A16,14.762,51.945
,57,B2B-IO-G1,JB1,58,---,IOB12,2,57.0196,J13-17,JB1-58,JM1-57,---,---,B16_L21_N,2,A21,23.4436,80.4632
,58,B2B-IO-G1,JB1,57,---,IOA6,2,39.3122,J11-11,JB1-57,JM1-58,---,---,B16_L9_P,2,A15,14.3443,53.6565
,59,B2B-IO-G1,JB1,60,---,NetJB1_60,1,---,---,JB1-60,JM1-59,---,---,B16_L13_P,2,C18,25.4977,---
,60,B2B-IO-G1,JB1,59,---,IOB7,2,45.0164,J13-12,JB1-59,JM1-60,---,---,B16_L7_N,2,B16,17.0195,62.0359
,61,B2B-IO-G1,JB1,62,---,NetJB1_62,1,---,---,JB1-62,JM1-61,---,---,B16_L13_N,2,C19,25.433,---
,62,B2B-IO-G1,JB1,61,---,IOB6,2,46.9023,J13-11,JB1-61,JM1-62,---,---,B16_L7_P,2,B15,17.4508,64.3531
,63,B2B-GND,JB1,64,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,64,B2B-GND,JB1,63,---,GND,260,---,---,---,---,---,---,---,---,---,---,---
,65,B2B-IO-G1,JB1,66,---,NetJB1_66,1,---,---,JB1-66,JM1-65,---,---,B16_L14_P,2,E19,27.0326,---
,66,B2B-IO-G1,JB1,65,---,NetJB1_65,1,---,---,JB1-65,JM1-66,---,---,B16_L11_P,2,B17,21.4868,---
,67,B2B-IO-G1,JB1,68,---,NetJB1_68,1,---,---,JB1-68,JM1-67,---,---,B16_L14_N,2,D19,25.884,---
,68,B2B-IO-G1,JB1,67,---,NetJB1_67,1,---,---,JB1-67,JM1-68,---,---,B16_L11_N,2,B18,22.2723,---
,69,B2B-IO-G1,JB1,70,---,IOB2,2,51.06,J13-7,JB1-70,JM1-69,---,---,B16_L3_N,2,C15,24.0866,75.1466
,70,B2B-IO-G1,JB1,69,---,IOA5,2,32.2851,J11-10,JB1-69,JM1-70,---,---,B16_L10_N,2,A14,16.5047,48.7898
,71,B2B-IO-G1,JB1,72,---,X4,2,5.5181,R21-8,JB1-72,JM1-71,---,---,B16_L3_P,2,C14,24.1503,29.6684
,72,B2B-IO-G1,JB1,71,---,IOA4,2,34.617,J11-9,JB1-71,JM1-72,---,---,B16_L10_P,2,A13,16.3985,51.0155
