Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.2 (lin64) Build 5239630 Fri Nov 08 22:34:34 MST 2024
| Date         : Wed Apr  1 14:46:27 2026
| Host         : bwrcix-1.EECS.Berkeley.EDU running 64-bit Red Hat Enterprise Linux 9.6 (Plow)
| Command      : report_utilization -hierarchical -file /scratch/lorenhung/chipyard/fpga/generated-src/chipyard.fpga.vcu118.VCU118FPGATestHarness.CustomSaturnVCU118Config/obj/report/utilization.txt
| Design       : VCU118FPGATestHarness
| Device       : xcvu9p-flga2104-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                            Instance                                           |                                       Module                                       | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|             nodeIn_d_q                                                                        |                                                     Queue1_TLBundleD_a26d64s9k1z2u |         11 |         11 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|             nodeOut_a_q                                                                       |                                                     Queue1_TLBundleA_a26d64s9k1z2u |         27 |         27 |       0 |    0 |    93 |      0 |      0 |    0 |          0 |
|           fragmenter                                                                          |                                                               TLFragmenter_LLCCtrl |         23 |         23 |       0 |    0 |    30 |      0 |      0 |    0 |          0 |
|             (fragmenter)                                                                      |                                                               TLFragmenter_LLCCtrl |          5 |          5 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|             repeater                                                                          |                                                   Repeater_TLBundleA_a26d64s5k1z3u |         18 |         18 |       0 |    0 |    21 |      0 |      0 |    0 |          0 |
|         coupler_to_plic                                                                       |                                                 TLInterconnectCoupler_cbus_to_plic |         29 |         29 |       0 |    0 |    44 |      0 |      0 |    0 |          0 |
|           fragmenter                                                                          |                                                                  TLFragmenter_PLIC |         29 |         29 |       0 |    0 |    44 |      0 |      0 |    0 |          0 |
|             (fragmenter)                                                                      |                                                                  TLFragmenter_PLIC |          5 |          5 |       0 |    0 |     9 |      0 |      0 |    0 |          0 |
|             repeater                                                                          |                                                   Repeater_TLBundleA_a28d64s5k1z3u |         24 |         24 |       0 |    0 |    35 |      0 |      0 |    0 |          0 |
|         coupler_to_prci_ctrl                                                                  |                                            TLInterconnectCoupler_cbus_to_prci_ctrl |         61 |         29 |      32 |    0 |     6 |      0 |      0 |    0 |          0 |
|           buffer                                                                              |                                                             TLBuffer_a21d64s5k1z3u |         61 |         29 |      32 |    0 |     6 |      0 |      0 |    0 |          0 |
|             nodeIn_d_q                                                                        |                                                     Queue2_TLBundleD_a21d64s5k1z3u |         22 |         14 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (nodeIn_d_q)                                                                    |                                                     Queue2_TLBundleD_a21d64s5k1z3u |         11 |         11 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                         |                                                                      ram_2x80_1226 |         11 |          3 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             nodeOut_a_q                                                                       |                                                     Queue2_TLBundleA_a21d64s5k1z3u |         39 |         15 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (nodeOut_a_q)                                                                   |                                                     Queue2_TLBundleA_a21d64s5k1z3u |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                         |                                                                          ram_2x104 |         38 |         14 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|         in_xbar                                                                               |                                                 TLXbar_cbus_in_i2_o1_a31d64s5k1z4u |         41 |         41 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|         out_xbar                                                                              |                                                TLXbar_cbus_out_i1_o8_a31d64s5k1z4u |        201 |        201 |       0 |    0 |    25 |      0 |      0 |    0 |          0 |
|         wrapped_error_device                                                                  |                                                                 ErrorDeviceWrapper |        104 |         76 |      28 |    0 |    37 |      0 |      0 |    0 |          0 |
|           buffer                                                                              |                                                             TLBuffer_a14d64s5k1z4u |         66 |         38 |      28 |    0 |     6 |      0 |      0 |    0 |          0 |
|             nodeIn_d_q                                                                        |                                                     Queue2_TLBundleD_a14d64s5k1z4u |         47 |         35 |      12 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (nodeIn_d_q)                                                                    |                                                     Queue2_TLBundleD_a14d64s5k1z4u |         10 |         10 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                         |                                                                           ram_2x81 |         37 |         25 |      12 |    0 |     0 |      0 |      0 |    0 |          0 |
|             nodeOut_a_q                                                                       |                                                     Queue2_TLBundleA_a14d64s5k1z4u |         19 |          3 |      16 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (nodeOut_a_q)                                                                   |                                                     Queue2_TLBundleA_a14d64s5k1z4u |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                         |                                                                          ram_2x102 |         17 |          1 |      16 |    0 |     0 |      0 |      0 |    0 |          0 |
|           error                                                                               |                                                                            TLError |         38 |         38 |       0 |    0 |    31 |      0 |      0 |    0 |          0 |
|             (error)                                                                           |                                                                            TLError |         10 |         10 |       0 |    0 |    18 |      0 |      0 |    0 |          0 |
|             a_q                                                                               |                                                     Queue1_TLBundleA_a14d64s5k1z4u |         28 |         28 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|       chipyard_prcictrl_domain                                                                |                                                    ChipyardPRCICtrlClockSinkDomain |         95 |         95 |       0 |    0 |    62 |      0 |      0 |    0 |          0 |
|         clock_gater                                                                           |                                                                     TileClockGater |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|           regs_0                                                                              |                                                             AsyncResetRegVec_w1_i1 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|         fragmenter                                                                            |                                                        TLFragmenter_TileClockGater |         37 |         37 |       0 |    0 |    30 |      0 |      0 |    0 |          0 |
